Region	Population	Sex	Length (mm)	Width (mm)
North	Nahant	F	14	4
North	Nahant	F	14.5	5
North	Nahant	F	14.5	4
North	Nahant	F	13	4
North	Nahant	F	15	4
North	Nahant	F	14	4
North	Nahant	M	22.5	6.5
North	Nahant	M	16	4
North	Nahant	M	20.5	6
North	Nahant	M	24	7
North	Nahant	M	16	4
North	Nahant	M	28	9
North	Nahant	M	24	7
North	Nahant	M	24	7
North	Nahant	M	21	7
North	Nahant	M	25	7
North	Nahant	M	23	7
North	Nahant	M	18.5	6
North	Nahant	M	21.5	6
North	Nahant	M	21	6
North	Nahant	M	19	5
North	Nahant	M	21	6
North	Nahant	M	20	5
North	Nahant	M	18.5	6
North	Nahant	M	18	5
North	Nahant	M	18	5
North	Nahant	M	19	5
North	Nahant	M	15	4
North	Nahant	M	17	4.5
North	Nahant	M	17	4.5
North	Nahant	M	16	5
North	Nahant	M	15	4
North	Nahant	M	15	4
North	Nahant	M	15	4
North	Nahant	M	13	4
North	Nahant	M	17	5
North	Nahant	M	15	4.5
North	Nahant	M	13	4
North	Nahant	M	17	5
North	Nahant	M	21	6
North	Nahant	M	16	4.5
North	Nahant	M	15	4
North	Nahant	M	15	4
South	VIMS	F	14.5	3.5
South	VIMS	F	17	4.5
South	VIMS	F	17	4.5
South	VIMS	F	14	3.5
South	VIMS	F	14	4.5
South	VIMS	F	17.5	5
South	VIMS	F	13	4
South	VIMS	F	13.5	4
South	VIMS	F	15	4
South	VIMS	F	13.5	3.5
South	VIMS	F	17	4.5
South	VIMS	F	15	3
South	VIMS	F	14	3.5
South	VIMS	F	16	4.5
South	VIMS	F	15.5	3
South	VIMS	F	15	3.5
South	VIMS	F	14.5	4
South	VIMS	F	15	4.5
South	VIMS	F	14	4
South	VIMS	F	13	3.5
South	VIMS	F	14	3
South	VIMS	F	12.5	3.5
South	VIMS	F	13	3.5
South	VIMS	F	14	4
South	VIMS	F	13.5	4
South	VIMS	F	14	4
South	VIMS	F	13.5	3.5
South	VIMS	F	14.5	4
South	VIMS	F	13.5	3.5
South	VIMS	F	15.5	4.5
South	VIMS	F	14	3.5
South	VIMS	F	14	3.5
South	VIMS	F	15	3.5
South	VIMS	F	15.5	3.5
South	VIMS	F	15	4
South	VIMS	F	14	4
South	VIMS	F	16.5	4.5
South	VIMS	F	12.5	3.5
South	VIMS	F	13	4
South	VIMS	F	15	4.5
South	VIMS	F	11	2.5
South	VIMS	F	13	4
South	VIMS	F	15	4.5
South	VIMS	F	13	3.5
South	VIMS	F	14	4
South	VIMS	F	14	4
South	VIMS	F	13	3.5
South	VIMS	F	13	4
South	VIMS	M	15	4
South	VIMS	M	14.5	3.5
South	VIMS	M	19.5	5
South	VIMS	M	20	5.5
South	VIMS	M	20.5	5.5
South	VIMS	M	22	5
South	VIMS	M	21	5.5
South	VIMS	M	18.5	5
South	VIMS	M	21	6
South	VIMS	M	20	5
South	VIMS	M	15.5	4
South	VIMS	M	20	4.5
South	VIMS	M	15	4
South	VIMS	M	19	4.5
South	VIMS	M	18	4
South	VIMS	M	17	4.5
South	VIMS	M	21	6
South	VIMS	M	17	4
South	VIMS	M	20.5	5
South	VIMS	M	19	5
South	VIMS	M	20	5
South	VIMS	M	19.5	4.5
South	VIMS	M	18	4.5
South	VIMS	M	17	4.5
South	VIMS	M	16	4
South	VIMS	M	16.5	4
South	VIMS	M	19	5
South	VIMS	M	18	4
South	VIMS	M	19	5
South	VIMS	M	15.5	3.5
South	VIMS	M	15	3.5
South	VIMS	M	13.5	3.5
South	VIMS	M	11	3
South	VIMS	M	14.5	3.5
South	VIMS	M	14.5	3.5
South	VIMS	M	22	6.5
South	VIMS	M	15.5	4
South	VIMS	M	17	4
South	VIMS	M	13	3.5
South	VIMS	M	14	3.5
South	VIMS	M	16	4
South	VIMS	M	13.5	4
South	VIMS	M	15.5	4.5
South	VIMS	M	16	4
South	VIMS	M	19.5	5
South	VIMS	M	17.5	4.5
South	VIMS	M	18.5	5
South	VIMS	M	22.5	6
South	VIMS	M	13	3
South	VIMS	M	15.5	4
South	VIMS	M	19	5
